,itemid,asin
0,37138,B01CPNIEQG
1,17322,B006F63M8U
2,5600,B00112O8NG
3,30249,B00MRAQUM8
4,4349,B000R7RN0G
5,931,B0009F3PM6
6,15992,B005HGOIQ4
7,5034,B000WG7M76
8,5629,B00117YT4Y
9,35087,B0146RYG02
10,24317,B00E0C6DMI
11,4989,B000VZU1KS
12,29984,B00MBVD5DA
13,36457,B01A2MI28W
14,1552,B000EDK774
15,20965,B00ASD2F8O
16,10287,B00284TTG2
17,6048,B0014C3QVS
18,5091,B000WLGCPY
19,10893,B002L46PS4
20,32145,B00RN8GW2M
21,11863,B003P00OSK
22,1254,B000CQG8MQ
23,36857,B01BNVYKVE
24,20473,B00A66V3UE
25,1919,B000F4DKAI
26,3926,B000OQU4DI
27,25758,B00FR6XSUG
28,33788,B00XA8XWGS
29,6121,B0014ET1S8
30,22335,B00BXR3WLS
31,17202,B0069VO1G8
32,6085,B0014DYBKM
33,22413,B00C1W77X8
34,30383,B00N0JHZ5G
35,2842,B000ILK9PM
36,4926,B000VK47D0
37,7902,B001EO5XRQ
38,15365,B0058AN1N0
39,815,B0006ZWUSY
40,17128,B006684PPQ
41,22208,B00BUKL666
42,4555,B000SANSSS
43,33457,B00VXQFY60
44,13245,B004CUCQQK
45,1868,B000F0FVRC
46,2534,B000H2XXRS
47,10534,B002AR14WO
48,15431,B0059JXK2M
49,6053,B0014CQDZ4
50,37969,B01G2YLSPI
51,37449,B01E0OMXOC
52,8894,B001KTA03C
53,37555,B01EFYS9FE
54,1043,B000AY9VCE
55,25456,B00FE6PXA2
56,5195,B000X3TPHS
57,26060,B00G6I14Y6
58,17420,B006IOKA9S
59,16141,B005JD3YV0
60,31690,B00PXRX5TI
61,24889,B00EQ4YJMQ
62,20271,B009XAAYLS
63,17264,B006CFEPEO
64,2511,B000H25VVO
65,13252,B004CYJXQW
66,14204,B004T36IFK
67,8206,B001EQ5SFG
68,7253,B001DCEFSC
69,31936,B00QU6TU40
70,10404,B0029JLU2C
71,9085,B001M09BHU
72,14440,B004VLVQHK
73,1540,B000EDI1CW
74,19527,B008YFWH3G
75,34922,B013DSZFIW
76,6841,B000YQSHW8
77,15656,B005CW3MB0
78,16605,B005T1302A
79,11336,B0036AWD8I
80,34947,B013IG9KVW
81,12312,B003ZXCAAC
82,918,B00099XOQO
83,35700,B016NBKRBQ
84,12059,B003ULFXWQ
85,31667,B00PV09OD8
86,29000,B00KLE7TEU
87,3949,B000OZIE2C
88,25854,B00FTEWQSQ
89,26753,B00H8WI46U
90,23754,B00DCIRIPM
91,12078,B003V5HEXC
92,35923,B017J2XV6G
93,10118,B0025VQCEA
94,13776,B004LKDDXQ
95,1101,B000BD0SDU
96,9294,B001OI3RS4
97,26909,B00HK4AN74
98,10796,B002GWHA62
99,24743,B00EIJ5MA2
100,5430,B000YV0VUE
101,8347,B001F79MMY
102,34884,B0131A6FJA
103,31251,B00OSL0LQA
104,30127,B00MJ5OI8O
105,32178,B00RW0MZ6S
106,36394,B019PDYP7Q
107,10264,B0027Z5J6G
108,37109,B01CMZC6IO
109,24891,B00EQA93OY
110,20232,B009SZ0XHI
111,6140,B0014EQI4I
112,2250,B000FRSSFC
113,26102,B00G9AQM16
114,23023,B00CLLV2X0
115,2789,B000IBODHC
116,5281,B000Y8Y5F4
117,34840,B012NC1KBK
118,37982,B01G3MRTUM
119,7711,B001EO5UTM
120,4543,B000S75D66
121,21165,B00AZW16QA
122,33792,B00XABKAWY
123,10581,B002BERUGA
124,34832,B012J84N8A
125,19354,B008MOMYRI
126,14614,B004XC9UWK
127,31759,B00Q6AJRFC
128,23022,B00CLLV2D0
129,14516,B004W8LT10
130,5062,B000WHZDEY
131,17482,B006K3RCPC
132,5562,B0010SEVWO
133,149,B0000GHNV8
134,23118,B00CNI492M
135,12114,B003VY9HLU
136,6745,B0018QLG9Y
137,37468,B01E5XTW24
138,34300,B00ZK6FXPG
139,16971,B0062JDADW
140,18764,B007PA34CE
141,9659,B001SB291S
142,9036,B001LQRKC8
143,28653,B00K2RYG6K
144,3548,B000MHHDVK
145,10294,B002863BIW
146,22376,B00C0TE6Z4
147,9699,B001TH9PJK
148,28036,B00J4LCQOE
149,11494,B003BQH3DC
150,936,B0009F3QKW
151,25466,B00FEQV2A2
152,4093,B000PGSL5K
153,5358,B000YPMKXQ
154,17691,B006R0Q8TE
155,10979,B002OAOADW
156,4345,B000R75X4E
157,27818,B00ISMP3YA
158,1378,B000E1FZHS
159,5145,B000WR4SGI
160,30893,B00NX78GRQ
161,29923,B00M8YEY6C
162,7354,B001E52VR0
163,37356,B01DO0BFN8
